english ,hindi
B Fig . 36 : -LRB- A -RRB- Appearance of red blood cells in normal condition . -LRB- B -RRB- Appearance of red blood cells when ' clumping ' in the presence of blood serum containing the associated antibody . specific like that of a lock and key .,"चित्र-36 देखें , परंतु यह प्रतिजन-प्रतिपिंड में होने वाली प्रतिक्रिया भी पूर्णत : विशिष्ट पदार्थों तक मर्यादित है और ताला तथा चाबी की विशिष्टता इसमें भी देखी जा कसती है ."
"the importance of the number three in all cultures, so I figure I'm covered.","तीन के अंक के महत्व के बारे में, सारी संस्कृतियों मे, तो मुझे लगा कि मैं ठीक हूँ।"
They're perfect.,वे दोषहीन हैं.
Last year at TED I gave an introduction to the LHC.,TED में पिछले साल मैंने LHC का परिचय दिया था।
"If you're already 100, or even if you're 80 -","अगर आप पहले से १०० साल, या ८० साल के भी हैं -"
Thank you.,धन्यवाद।
There could be nothing more wrong than,उससे ज्यादा गलत कुछ हो ही नहीं सकता है ।
Jaishankar Prasad (Perspective),जयशंकर प्रसाद (अनुभूति)
"The grasshoppers , most appropriately named , are happy at home among green grass and other low vegetation .","टिड्डे टिड्डे हरी घास और छोटी छोटी वनसऋ-ऊण्श्छ्ष्-पति के बीच प्रसनऋ-ऊण्श्छ्ष्-न रहते हैं , वही उनके धर हैं ."
The remedy otherwise could be only political .,"अन्यथा , उपचार केवल राजनीतिक हो सकता है ."
Deepavali is a festival of light.,दीपावली दीपों का त्योहार है।
1949 : An idol of Ram is installed in the masjid .,1949ः भगवान राम की एक प्रतिमा मस्जिद में स्थापित की गई .
"Nevertheless , the existence of a highly critical Legislature encouraged the exercise of care and discretion on the part of the Executive and instilled in it a consciousness of its obligation to the people .","ZLफर भी , आलोचनात्मक विधानमंडल होने से कार्यपालिका को सावधानी और विवेक से काम लेना पड़ता था और उसमें जनता के प्रति अपने दायित्व की चेतना पैदा हुई ."
He regularly practises bowling with the left hand.,वे नियमित तौर पर बायें हाथ से गेंद फेंकने का अभ्यास करते हैं।
United States of America,संयुक्त राज्य अमेरिका
Vegetarian,शाकाहार
"Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain,","टिप्पर और मैं गाड़ी में जा रहे थे, शोनी'स, कम आय वाले परिवारों के लिए भोजनालय श्रृंखला,"
His lack of political ambition also makes it easier for the front to integrate into any power structure that emerges after the war .,उनमें राजनैतिक महत्वाकांक्षाएं न होना भी युद्ध के बाद उभरने वाले सत्ता समीकरण में मोर्चे की एकता के लिए लभकारी है .
Story and the novel both born in the epoch-making change,कहानी और उपन्यास दोनो में युगान्तरकारी परिवर्तन पैदा किए।
"As we shall show more fully in Chap . 5 , this information is embodied in the DNA molecule in three-letter words or condons made up from different combinations of the four different chemical subunits of DNA .",पांचवें अध्याय में यह बताया जायेगा कि यह जानकारी डी.एन.ए . अणु में तीन अक्षरों से बने शब्दों में अथवा कंडोंनों में संग्रहित की जाती है .
"A year after the death , the Lama performs the Fulyach -LRB- or the Dalhyang -RRB- ceremony , at which he gets food and clothes in the name of the dead .",वर्ष के पश्चात ' फुल्याच ' य ' डख्याङ ' के समय लामा मृतक के नाम वस्त तथा भोजन लेता है .
In this area the the rainfall is barely 50 cm to 90 cm.,इस भाग में वर्षा का औसत ५० से.मी. से ९० से.मी. तक है।
"between OECD, Latin America, East Europe, East Asia,","और यहाँ ओईसीडी और लेटिन अमेरिका, पूर्वी यूरोप, पूर्वी एशिया,"
Because of this unitisation it is celebrated as rajasthan day.,इस कारण इस दिन को हर साल राजस्थान दिवस के रूप में मनाया जाता है।
"build greater stability,","ज्यादा मज़बूत स्थिरता पैदा करने की ज़रूरत है,"
"In this state of mind , ” one day all of a sudden I saw a page from some Sanskrit book flutter past me .","ऐसी मानसिक स्थिति में , ” अचानक एक दिन मैंने देखा कि मेरे सामने ही किसी संस्कृत ग्रंथ का पन्ना फड़फड़ा रहा है ."
Khalid was the son of the chief priest -LRB- Barmak -RRB- of a Buddhist monastery in Balkh .,खालिद बल्ख में एक बौद्ध मठ के मठाधीश ( बरमक ) का पुत्र था .
You must not have done any paid work in the 13 weeks before starting your new job .,आप ने नयी नौकरी शुरु करने से पहले 13 हफ्ते कोई भी आमदनी वाला काम नही किया हो .
"Inaocha Mangang , his companion since 1978 and a graduate from Visvabharati , Santiniketan , sums it all up : Bahadur himself is a rare specimen who should be preserved in the museum for posterity .","1978 से ही उनके सहयोगी शांति निकेतन के विश्व भारती से स्नातक इनाओचा मंगांग कहते हैं , ' ' खुद बहादुर दुर्लभ प्रजाति हैं , जिन्हें भावी पीढी के लिए संग्रहालय में संरक्षित करना चाहिए . ' '"
But they are not rated high by other countries .,लेकिन इसके बावजूद दूसरे देश उन्हे उच्चकोटि का अम्पायर नहीं मानते .
open office 2.0 (or more)for including hindi version,ओपनऑफ़िस 2.0 (या अधिक) में हिन्दी वर्तनी जाँचक शामिल करने के लिए
"In Indian architecture , Western influence led to economy of space , specially through the use of straight lines , as well as to the considerations , of modern hygiene .","भारतीय वास्तुकला में पश्चिमी प्रभाव से स्थान का सदुपयोंग आया , विशेषकर सीधी रेखाओं के प्रयोग तथा आधुनिक स्वास्थ्य विभाग को ध्यान में रखने के कारण ."
comes in special prower of house.,4. सदन की विशेष शक्तियॉ मे आता हो
Bachhan Ji is among the top most famous Hindi Poets.,बच्चन जी हिन्दी के सर्वाधिक लोकप्रिय कवियों में अग्रणी हें।
"In a short while , it developed an inner or underground wing which became the centre of revolutionary activities all over Bengal .",शीध्र ही यह ऐसे गुप्त संगठन मे परिवर्तित हो गई जो सारे बंगाल के क्रांतिकारी कार्यकलापों को केंद्र था .
"5 . Inject this air into the bottle of insulin . Keeping the syringe still inside the bottle , invert the bottle of insulin and pull the plunger . to withdraw insulin equal to the dose required .",अब इस हवा को इंसुलिन की वायल में इंजेक्ट करें.सुई को अभी भी वॉयल के अंदर रखकर वॉयल को सीधी स्थिति में रखते हुए उल्टा कर दें.प्लंजर को बाहर की ओर खींचते हुए इंसुलिन की इच्छित खुराक को सिरिंज में भर लें .
Any-key,एनी-की
"of Ganesha,","भगवान गणेश की कहानी,"
"There is two main meaning of sindhu word in Sanskrit-first is Sindhu river which is arise from Mansarover and flow through Ladhakh and Pakistan and meet the ocean,second any ocean.",संस्कृत में सिन्धु शब्द के दो मुख्य अर्थ हैं - पहला सिन्धु नदी जो मानसरोवर के पास से निकल कर लद्दाख़ और पाकिस्तान से बहती हुई समुद्र मे मिलती है दूसरा कोई समुद्र या जलराशि।
Ram was very pleased by Hanuman's job|,हनुमान के कार्य से राम अत्यन्त प्रसन्न हुये।
Shia Islam rule slightly different to the column called,शिया इस्लाम में थोड़े अलग सिद्धांतों को स्तम्भ कहा जाता है।
"In this phase, by altering a few pieces from here to there, geographical and social anomalies were rectitied.",इस चरण में कुछ भाग इधर उधर कर भौगोलिक और सामाजिक त्रुटि भी सुधारी गया।
He was a troubled kid.,वह एक परेशान बच्चा था |
"The navaranga forms a larger square in front , its outer walls and adhishthana similarly relieved and recessed , and with similar external ornamentation .",नवरंग सामने एक बड़ा वर्ग बनाता हैं और उसकी बाहरी दीवारें और अधिष्ठान उसी प्रकार उभार और अतंराल और वैसे ही बाह्य अलंकरण युक़्त है .
and they record everything you type.,और वे सब रिकॉर्ड करते हैं जो आप टाइप करते हैं .
Many Font Changer - In the final Section of Hindi Group Java script based scientific and technological more than 20 font changers are available.,अनेकों फॉण्ट परिवर्तक - वैज्ञानिक एवं तकनीकी हिन्दी समूह के फाइल सेक्शन में जावास्क्रिप्ट पर आधारित बीस से अधिक फॉण्ट परिवर्तक उपलब्ध हैं।
"Here it is clear that he was Srikrishna, The Gurus called him Hare Krishna because Krishna is 138 years earlier Chandragupta if you add 20 to 30 years to this we get the birth time of Sri Krishna around 3100-5600 years ago.So Based on this we can say that The Mahabharat war had taken place around 4600-3100 years.",यहाँ ये स्पष्ट है कि ये हेराकल्स श्रीकृष्ण ही थे विद्वान इन्हें हरिकृष्ण कह कर श्रीकृष्ण से जोड़ते है क्योंकि श्रीकृष्ण चन्द्रगुप्त से १३८ पीढ़ी पहले थे तो यदि एक पीढी को २०-३० वर्ष दे तो ३१००-५६०० ईसा पूर्व श्रीकृष्ण का जन्म समय निकलता है अतः इस आधार पर महाभारत का युद्ध ५६००-३१०० ईसा पूर्व के समय हुआ होगा।
"to share their knowledge,",अपने ज्ञान को वितरित करने के लिए
Constitution of a country lays down the basic structure of the political system under which its people are to be governed .,किसी देश का संविधान उसकी राजनीतिक व्यवस्था का वह बुनियादी सांचा-ढांचा निर्धारित करता है जिसके अंतर्गत उसकी जनता शासित होती है .
Are you holding her?,क्या आप उसको थामे हैं?
This is only the domestic dimension .,यह इसका केवल घरेलू पहलू है .
in nepal from many years ayurveda is there vaidh and family doctors of village homes and cities were reached safely,नेपाल मे बहुत पहिले से आयुर्वेद (प्राकृतिक चिकित्सा) पद्धती उपयोगमे था बैध और परंपरागत चिकित्सक गाँवघर और शहरो मे स्वास्थ्य सेवा पहुचाते थे ।
"In this region Lignite, Fullers Earth, Tungsten, Bentonite, Gypsum, Marbel etc ore materials are found in rich amount.",इस बाग में लिग्नाइट फुलर्सअर्थ टंगस्टन बैण्टोनाइट जिप्सम संगमरमर आदि खनिज पदार्थ प्रचुर मात्रा में पाये जाते हैं।
"Valentine may come and go , talking and selling love , but India does n't need a merchant to put a price tag on its culture .","वेलेंटाइन आते-जाते रहेंगे , प्यार की बातें करते रहेंगे और प्यार बेचते रहेंगे लेकिन भारत को अपनी संस्कृति का कोई सौदागर नहीं चाहिए ."
There are a quarter of a million - at least those are the ones we know about -,ढाई लाख - कम से कम इतनो के बारे में हम जानते हैं -
5 types of doubts at least 368 all doubts cannot be cleared it needs kingdom agreement too,5 संविधान मे संशोधन की शक्ति अनु 368इन सभी अनुच्छेदो मे संसद अकेले संशोधन नही ला सकती है उसे राज्यो की सहमति भी चाहिए
The news also travelled fast to India and the subject became one of the excited discussions throughout the country .,जल्द ही यह खबर भारत भी आ पहुंची और देश भर में आवेशपूर्ण चर्चा का विषय बन गयी .
"His immediate ideal , however , was to settle there and devote his entire life to the service of God Kudalasangama .",उसका तात्कालिक आदर्श तो यही था कि वहीं बस कर संगमेश्वर की सेवा में जीवन अर्पित कर दिया जाये .
Japanese Mother: [Japanese],जापानी माँ : [जापानी]
SEBI 's investigation reveals a trail of skulduggery that is shocking .,सेबी की पड़ेताल से एक चौंकाने वाली पूरी कहानी सामने आई है .
But the purely social and religious reform movement started by Shah Waliullah and his sons had more success .,किंतु शाहवली उल्ला एवं उनके पुत्रों द्वारा प्रारंभ किया गया सामाजिक तथा धार्मिक आंदोलन और Zअधिक सफल हुआ .
"They are also capable of running very fast on the loose and shifting sands , without tumbling down .",वे ढीली और जगह बदलती रहने वाली बालू पर लड़खड़ाकर गिरे बिना बहुत तेज दौड़ सकते हैं .
It is possible,संभव है कि
english hindi dictionary on PDF form,अंग्रेज़ी हिन्दी शब्दकोष पी॰डी॰ऍफ़॰ प्रारूप में
Body structure drawing of human penis.,मानव शिश्न की शरीर रचना का आरेख . (आवर्धन हेतु क्लिक करें)
Her husband prince Bhojraj was son of Maharana Sanga.,उनके पति कुंवर भोजराज उदयपुर के महाराणा सांगा के पुत्र थे।
"as this fear that we have as men,","जो हम मर्द के तौर पर महसूस करते हैं,"
” It therefore only remains for us to consider what punishment we ought to inflict upon you .,” अतः हमारे लिए यही विचार करना रह जाता है कि तुम्हें क्या दंड दिया जाये .
"As the Delhi visit made memorable Gandhi 's generous and loving solicitude for the poet 's health , it made notoriously manifest the British government 's ungenerous arrogance .","दिल्ली की यात्रा गांधी जी के उदार मनोभावों और रवीन्द्रनाथ के स्वास्थ्य के प्रति उनकी व्यग्रता के नाते जितना स्मरणीय रही , उतनी ही कष्टकर भी रही- ब्रिटिश सरकार के अनुदार घमंडी व्यवहार से ."
but because we're pretty sure,लेकिन हम लोग बिलकुल ये जानते है
"The chemical is prepared from methyl isocyanate -LRB- MIC -RRB- , the leakage of which claimed about 4,000 lives in the Bhopal gas tragedy during 1984 .","यह रसायन मिथाइल आइसोसाइनेट ( मिक ) से बनता है , जिसके रिसने से 1984 की भोपाल गैस दुर्घटना में लगभग 4000 लोगों की मृत्यु हुई थी ."
Context,संदर्भ
"For example, you can find it from some phone numbers","उदाहरण के लिए, आप इसे कुछ फोन नंबर पर पा सकते हैं"
"During 1938 and particularly since the beginning of 1939 when a bitter controversy was raging between the Congress right wing and Subhas Chandra , Rabindra Nath Tagore stood close to him both personally and ideologically .","सन् 1938 में , खासकर 1939 के शुरू में , जब दक्षिणपंथी कांग्रेसियों और सुभाष चन्द्र में विवाद छिड़ा हुआ था , तब रवीन्द्रनाथ ठाकुर उनके निकट समर्थक थे-व्यक़्तिगत रूप से भी और वैचारिक तौर पर"
Karna is also known as danveer karna.,कर्ण को दानवीर-कर्ण के नाम से भी जाना जाता है।
"Once we realized that, we decided it was time to do our own planning.","एक बार जब हमें अहसास हो गया, तब हमने निश्चय किया कि अब समय आ गया है कि हम अपनी योजना ख़ुद तैयार करें।"
"Health effect biological chemical from air pollution and health changes and problem in taking breath, fear, cough and problem in heart. Result of these effect is increasing the use of medicine, and more go to doctor to and in emergency rooms, get more admitted in hospitals or come medium of unearthly time death. Bad quality of air have domino effects. But according to principle it affects the berating system heart system of body. The personal effect of pollution is depends on, pollution, its quantity, persons health condition and hereditary of the person and relations.",वायु प्रदुषण से होने वाले स्वस्थ्य प्रभाव जैविक रसायन और शारीरिक परिवर्तन से लेकर श्वास में परेशानी घरघराहट खांसी और विद्यमान श्वास तथा ह्रदय की परेशानी हो सकती है. ं इन प्रभावों का परिणाम दवाओं के उपयोग में वृद्धि होती है चिकित्सक के पास या आपातकालीन कक्ष में ज्यादा जाना ज्यादा अस्पताल में भरती होना और असामयिक मृत्यु के रूप में आता है.वायु की ख़राब गुणवत्ता के प्रभाव दूरगामी है परन्तु यह सैधांतिक रूप से शरीर की श्वास प्रणाली और ह्रदय व्यवस्था को प्रभावित करता है. वायु प्रदुषण की व्यक्तिगत प्रतिक्रिया उस प्रदूषक पर उसकी मात्रा पर व्यक्ति के स्वास्थय की स्थिति और अनुवांशिकी पर निर्भर करती है जिससे वह व्यक्ति संपर्क में रहता है.
"In any subject, every discourse is being written.",किसी भी विषय के बारे मे उसकी हर बात के बारे मे लिखा जाता है।
Some of the salient features in the functioning of modern parliamentary democracies ? free discuss on and decision by the vote of the majority ? are known to have existed .,"ऐसा ज्ञात होता है कि आधुनिक संसदीय लोकमत के कुछ महत्वपूर्ण तत्व , जैसे निर्बाध चर्चा और बहुमत द्वारा निर्णय , तब भी विद्यमान थे ."
Off the field a player should take care of himself and keep a hundred per cent fit .,मैदान से बाहर खिलाड़ी को अपनी देख-भाल करनी चाहिए और उसे अपने आपको सौ फीसदी चुस्त और दुरूस्त रखना चाहिए .
"Karzai 's visits to the US , Pakistan and Gulf countries indicate that he wants more monetary support for the country 's reconstruction .","करज़ई की अमेरिका , पाकिस्तान और खाड़ी देशों की यात्रा से संकेत मिलता है कि वे देश के पुनर्निर्माण के लिए आर्थिक मदद चाहते हैं ."
These references have been linked to Dwarka mentioned in the Mahabharata.,इनको महाभारत में वर्णित द्वारका के सन्दर्भों से जोड़ा गया है।
But Government did not make clear when he can return backafter the treatment is over.,लेकिन सरकार ने यह तो स्पष्ट नहीं किया था कि इलाज के बाद वे भारत कब लौट सकते हैं।
The attendance at this session was the largest since the inception of the Congress and all arrangements were made on a colossal scale .,कांग्रेस के प्रारंभ से लेकर इस 43वें अधिवेशन में भाग लेनेवालों की संख़्या सबसे ज़्यादा थी और तमाम प्रबंध बहुत बड़े पैमाने पर किये गये थे .
"However , the court accepted the pleas of the ' guilty ' and asked the public prosecutor to say anything he wished to say on the question of sentence .","बहरहाल , अदालत ने अपराध मान लेने के कभिवचनों को स्वीकार किया और सरकारी अभियोक़्ता से कहा कि अगर वह दंड के सवाल पर कुछ कहना चाहते हैं , तो कहें ."
Azhar 's Jaish-e-Mohammed recently tried to blow up the Jammu and Kashmir Assembly and Sheikh was involved with the events of September 11 .,"अज़हर के जैश-ए-मोहमद ने हाल ही में जमू-कश्मीर विधानसभा उड़ने की कोशिश की , तो शेख 11 सितंबर के हमले में शामिल था ."
"batsmen are out and team has made 224 runs then it is called as they made 224 runs with a loss of 5 wickets( it is simply: written as 5 for 224 and 224/5 form, by Australia, 224 for 5 and 5/224).",एक टीम के स्कोर को उसके द्वारा बनाये गए रनों की संख्या और आउट हुए बल्लेबाजो की संख्या से प्रदर्शित किया जाता है.उदाहरण के लिए यदि पाँच बल्लेबाज आउट हो गए हैं और टीम ने २२४ रन बनाये हैं तो कहा जाता है की उन्होंने ५ विकेट की हानि पर २२४ रन बनाये हैं (इसे साधारणत: २२४ पर ५ और २२४/५ के रूप में लिखा जाता है ऑस्ट्रेलिया में ५ पर २२४ और ५/२२४).
So I went back there,तो मैं वापस वहाँ गया
It effects on the poor groups like Africa when their productions are low compare to developed countries.,वैज्ञानिक निष्कर्ष के प्रचार के कारन दुनिया में राजनीतिक और आर्थिक बहस चिद गई है . गरीब क्षेत्रों खासकर अफ्रीका पर बडा जोखिम दिखाई देता है जबकि उनके उत्सर्जन विकसित देशों की तुलना में काफी कम रहे हैं .
Thank you very much. Bye!,बहुत धन्यवाद आप सभी का. चलता हूँ.
"some were Ismael (e. k. Ismael , khan) and some were famous places go lard and gumbadh.",मुख्य गुम्बद का अभिकल्पक इस्माइल (ए.का.इस्माइल खाँ) जो कि ऑट्टोमन साम्राज्य का प्रमुख गोलार्ध एवं गुम्बद अभिकल्पक थे।
Due to immigration of Muslims in other countries Islam has also spread in Europe and America.,मुसल्मानों के अन्य देशों में प्रवास के कारण युरोप और अमरीका में भी इस्लाम फैल गया है।
"As for the pistol , which was used in killing Jackson , it was strenuously contended that there was no sufficient proof that Savarkar was the person , who entrusted twenty Browning pistols with one of which Jackson was killed , to the cook Chaturbhuj , the approver .","जहां तक उस पिस्तौल का संबंध था , जिससे जैक्सन की हत्या की गयी , इस बात को दृढ़तापूर्वक कहा गया कि इस बात का कोई पर्याप्त सबूत न था कि सावरकर ही वह व्यक्ति था जिसने सरकारी गवाह चतुर्भूज के हाथ 20 ब्राउंनिग पिस्तौल भेजी थीं ."
"Film director John Huston was once asked why Fat City , his acclaimed 1972 movie about a struggling boxer , had flopped .",फिल्म निर्देशक जॉन ह्यूस्टन से एक बार पूछा गया कि एक संघर्षरत मुकंकेबाज के बारे में 1972 की उनकी भचर्चित फिल्म फैट सीटी क्यों पिट गई थी ?
Modeling of air quality.,वायु की गुणवत्ता मॉडलिंग
6 . If you wish to sell the forms or guidance notes to a third party you must first obtain a license from HMSO at the following address :,"6 अगर आप यह फॉर्म और मार्गदर्शन नोटस किसी तीसरी पार्टी को बेचना चाहते हें , तो इस के लिए आप को ःंशौ से निम्नलिखित पते पर अनुञापत्र ( लाईसैंस ) लेना होगा ."
"A . I believe it is in the interest of the people , country and social reforms that peace be restored .","मेरा मानना है कि जनता , देश और सामाजिक सुधारों के हित में शांति बहाली जरूरी है ."
Ramayana from Wikisource,विकिस्रोत से रामायण
The words match-fixer have been scratched on to the bonnet of his Mitsubishi Lancer and there they will remain until a garage gets to work on it .,"उनकी मित्सुबिशी लंसर के बोनट पर खुरचकर मैच फिक्सर शद लिखे गए हैं , जो गाड़ी की पेंटिंग होने तक बने रहेंगे ."
